ID	Time Commitment	Budget (per semester)	Career Change?	Target Timeline	Adopter Category
333	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible	Early Majority
334	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	3-5 years	Early Adopter
335	20+ hours per week (full-time)	$8,000-$12,000	No	2-3 years	Innovator
336	20+ hours per week (full-time)	$10,000-$15,000	Yes	2-3 years	Early Adopter
337	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years	Early Majority
338	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years	Early Adopter
339	5-10 hours per week (1 course)	$12,000-$15,000	No	3-5 years or flexible	Early Majority
340	5-10 hours per week (1 course)	$12,000-$15,000	No	3-5 years or flexible	Early Majority
341	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years	Early Adopter
342	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years	Early Adopter
343	5-10 hours per week (1 course)	$10,000-$12,000	Yes	3-5 years	Early Majority
344	5-10 hours per week (part-time)	$10,000-$12,000	Yes	3-5 years	Early Majority
345	10-15 hours per week	$10,000-$12,000	Yes	3-5 years	Early Adopter
346	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	2-3 years	Early Adopter
347	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years	Early Adopter
348	5-10 hours per week (1 course)	$10,000-$15,000	Yes	3-5 years	Late Majority
349	5-10 hours per week (part-time)	$10,000-$12,000	No	3-5 years or flexible	Early Majority
350	5-10 hours per week (part-time)	$5,000-$8,000	Yes	3-5 years	Early Majority
351	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years	Early Adopter
352	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years	Early Majority
353	5-10 hours per week (1 course)	$3,500-$6,000	Yes	3-5 years	Early Adopter
354	5-10 hours per week (1 course)	$12,000-$15,000	Yes	3-5 years	Early Majority
355	10-15 hours per week	$5,000-$8,000	Yes	2-3 years	Innovator
356	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	1-2 years	Innovator
357	5-10 hours per week (part-time)	$2,000-$4,000	Yes	1-2 years	Early Adopter
358	5-10 hours per week (part-time)	$10,000-$15,000	No	3-5 years or flexible	Early Majority
359	10-15 hours per week	$10,000-$15,000	No	2-3 years	Early Adopter
360	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	3-5 years or flexible	Early Majority
361	10-15 hours per week	$10,000-$12,000	Yes	3-5 years	Early Adopter
362	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	3-5 years or flexible	Early Adopter
363	5-10 hours per week (1 course)	$10,000-$12,000	No	3-5 years or flexible	Early Majority
364	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years	Innovator
365	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	1-2 years	Innovator
366	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years	Early Majority
367	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	2-3 years	Early Adopter
368	5-10 hours per week (part-time)	$12,000-$15,000	Yes	3-5 years	Early Majority
369	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible	Early Adopter
370	10-15 hours per week	$10,000-$15,000	No	2-3 years	Innovator
371	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years	Early Majority
372	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	3-5 years	Early Majority
373	5-10 hours per week (part-time)	$2,500-$4,000	Yes	1-2 years	Early Majority
374	10-15 hours per week	$5,000-$8,000	Yes	1-2 years	Early Adopter
375	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years	Innovator
376	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible	Early Majority
377	10-15 hours per week	$10,000-$12,000	No	2-3 years	Innovator
378	5-10 hours per week (1 course)	$3,500-$6,000	Yes	2-3 years	Early Adopter
379	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years	Early Majority
380	10-15 hours per week	$5,000-$8,000	Yes	1-2 years	Early Adopter
381	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years	Innovator
382	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years	Early Majority
383	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	3-5 years or flexible	Early Adopter
384	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years	Innovator
385	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible	Early Adopter
386	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years	Early Majority
387	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	1-2 years	Early Adopter
388	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years	Early Adopter
389	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible	Early Adopter
390	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible	Early Majority
391	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	1-2 years	Innovator
392	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years	Early Adopter
393	5-10 hours per week (part-time)	$10,000-$15,000	Yes	3-5 years	Early Majority
394	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years	Early Adopter
395	10-15 hours per week	$10,000-$12,000	Yes	2-3 years	Early Adopter
396	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible	Early Adopter
397	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible	Innovator
398	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years	Early Adopter
399	5-10 hours per week (1 course)	$10,000-$15,000	Yes	3-5 years	Late Majority
400	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible	Early Majority
401	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible	Early Majority
402	10-15 hours per week	$10,000-$15,000	Yes	2-3 years	Innovator
403	10-15 hours per week	$10,000-$12,000	Yes	2-3 years	Early Adopter
404	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible	Early Adopter
405	10-15 hours per week	$12,000-$15,000	Yes	1-2 years	Innovator
406	10-15 hours per week	$5,000-$8,000	Yes	1-2 years	Innovator
407	10-15 hours per week	$6,000-$8,000	Yes	3-5 years	Early Majority
408	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	3-5 years or flexible	Innovator
409	5-10 hours per week (1 course)	$8,000-$12,000	No	3-5 years or flexible	Early Majority
410	5-10 hours per week (1 course)	$2,000-$4,000	No	3-5 years or flexible	Early Majority
411	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years	Early Majority
412	10-15 hours per week	$6,000-$8,000	No	2-3 years	Early Adopter
413	10-15 hours per week	$5,000-$8,000	No	3-5 years or flexible	Early Adopter
414	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	2-3 years	Innovator
415	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible	Early Majority
416	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	3-5 years	Innovator
417	5-10 hours per week (1 course)	$12,000-$15,000	Yes	3-5 years	Early Majority
418	10-15 hours per week	$10,000-$15,000	Yes	1-2 years	Innovator
419	5-10 hours per week (1 course)	$10,000-$15,000	No	3-5 years or flexible	Late Majority
420	5-10 hours per week (part-time)	$3,500-$6,000	Yes	1-2 years	Innovator
421	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years	Early Majority
422	10-15 hours per week	$6,000-$8,000	Yes	2-3 years	Innovator
423	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible	Early Majority
424	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	2-3 years	Early Adopter
425	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	2-3 years	Innovator
426	5-10 hours per week (1 course)	$4,000-$6,000	Yes	2-3 years	Early Majority
427	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years	Early Majority
428	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	2-3 years	Early Majority
429	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years	Innovator
430	5-10 hours per week (1 course)	$6,000-$8,000	Yes	3-5 years	Early Majority
431	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible	Early Adopter
432	5-10 hours per week (part-time)	$5,000-$8,000	Yes	3-5 years	Late Majority
433	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years	Early Majority
434	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible	Early Majority
435	10-15 hours per week	$10,000-$15,000	No	3-5 years or flexible	Early Majority
436	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	3-5 years	Early Majority
437	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	3-5 years or flexible	Early Majority
438	5-10 hours per week (1 course)	$3,500-$6,000	Yes	3-5 years	Early Majority
439	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	3-5 years or flexible	Early Adopter
440	10-15 hours per week	$5,000-$8,000	Yes	1-2 years	Innovator
441	5-10 hours per week (part-time)	$5,000-$8,000	Yes	3-5 years	Late Majority
442	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years	Early Adopter
443	10-15 hours per week	$12,000-$15,000	No	3-5 years or flexible	Early Majority
444	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible	Early Adopter
445	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years	Innovator
446	10-15 hours per week	$6,000-$8,000	Yes	2-3 years	Early Adopter
447	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years	Early Adopter
448	5-10 hours per week (1 course)	$3,500-$6,000	Yes	1-2 years	Early Adopter
449	10-15 hours per week	$6,000-$8,000	Yes	1-2 years	Innovator
450	5-10 hours per week (1 course)	$3,500-$6,000	Yes	3-5 years	Early Majority
451	10-15 hours per week	$6,000-$8,000	Yes	2-3 years	Innovator
452	5-10 hours per week (part-time)	$10,000-$15,000	No	3-5 years or flexible	Early Majority
453	5-10 hours per week (part-time)	$3,500-$6,000	Yes	1-2 years	Early Adopter
454	5-10 hours per week (1 course)	$3,500-$6,000	Yes	3-5 years	Early Majority
455	5-10 hours per week (part-time)	$8,000-$12,000	Yes	3-5 years	Late Majority
456	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	2-3 years	Innovator
457	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible	Early Majority
458	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years	Late Majority
459	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	3-5 years	Early Majority
460	10-15 hours per week	$12,000-$15,000	No	3-5 years or flexible	Innovator
461	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	1-2 years	Innovator
462	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years	Innovator
463	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years	Early Majority
464	5-10 hours per week (part-time)	$10,000-$12,000	No	3-5 years or flexible	Early Majority
465	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years	Early Adopter
466	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years	Early Adopter
467	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years	Early Adopter
468	5-10 hours per week (part-time)	$4,000-$6,000	Yes	1-2 years	Early Adopter
469	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible	Early Majority
470	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible	Early Majority
471	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years	Early Adopter
472	10-15 hours per week	$12,000-$15,000	No	2-3 years	Innovator
473	5-10 hours per week (1 course)	$10,000-$12,000	No	3-5 years or flexible	Early Majority
474	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years	Innovator
475	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	3-5 years or flexible	Early Adopter
476	10-15 hours per week	$10,000-$12,000	No	2-3 years	Early Adopter
477	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years	Early Adopter
478	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	1-2 years	Innovator
479	10-15 hours per week	$5,000-$8,000	No	3-5 years or flexible	Early Majority
480	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years	Early Majority
481	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years	Early Majority
482	20+ hours per week (full-time)	$8,000-$12,000	No	2-3 years	Early Adopter
483	5-10 hours per week (1 course)	$10,000-$15,000	Yes	3-5 years	Early Majority
484	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	1-2 years	Early Adopter
485	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years	Early Majority
486	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years	Early Adopter
487	5-10 hours per week (1 course)	$10,000-$12,000	Yes	3-5 years	Early Majority
488	10-15 hours per week	$5,000-$8,000	No	3-5 years or flexible	Early Adopter
489	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years	Early Adopter
490	5-10 hours per week (1 course)	$4,000-$6,000	Yes	1-2 years	Innovator
491	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible	Early Majority
492	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years	Early Adopter
493	5-10 hours per week (1 course)	$2,000-$4,000	Yes	1-2 years	Innovator
494	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years	Early Majority
495	10-15 hours per week	$6,000-$8,000	No	2-3 years	Innovator
496	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible	Early Adopter
497	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years	Early Majority
498	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible	Early Majority
499	5-10 hours per week (part-time)	$3,500-$6,000	Yes	3-5 years	Early Majority
500	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years	Early Adopter
501	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years	Innovator
502	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	3-5 years	Early Adopter
503	20+ hours per week (full-time)	$10,000-$15,000	Yes	2-3 years	Early Adopter
504	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years	Early Adopter
505	5-10 hours per week (1 course)	$8,000-$12,000	No	3-5 years or flexible	Early Adopter
506	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	3-5 years	Early Adopter
507	5-10 hours per week (part-time)	$3,500-$6,000	Yes	2-3 years	Early Majority
508	5-10 hours per week (1 course)	$3,500-$6,000	Yes	1-2 years	Early Adopter
509	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years	Innovator
510	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible	Early Majority
511	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	2-3 years	Early Adopter
512	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years	Early Adopter
513	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible	Early Majority
514	10-15 hours per week	$5,000-$8,000	No	3-5 years or flexible	Early Majority
515	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	2-3 years	Innovator
516	5-10 hours per week (1 course)	$4,000-$6,000	Yes	1-2 years	Early Adopter
517	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years	Early Majority
518	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years	Early Adopter
519	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years	Early Majority
520	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years	Early Adopter
521	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	3-5 years or flexible	Early Adopter
522	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible	Early Majority
523	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years	Early Adopter
524	10-15 hours per week	$8,000-$12,000	No	2-3 years	Early Majority
525	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible	Early Adopter
526	10-15 hours per week	$8,000-$12,000	Yes	2-3 years	Early Majority
527	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	3-5 years	Early Adopter
528	10-15 hours per week	$10,000-$15,000	No	2-3 years	Early Majority
529	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years	Early Adopter
530	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years	Early Majority
531	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years	Innovator
532	5-10 hours per week (part-time)	$2,500-$4,000	Yes	1-2 years	Early Adopter
533	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years	Early Adopter
534	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years	Early Adopter
535	5-10 hours per week (part-time)	$4,000-$6,000	Yes	1-2 years	Early Adopter
536	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible	Early Adopter
537	10-15 hours per week	$10,000-$15,000	No	3-5 years or flexible	Early Adopter
538	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years	Early Majority
539	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years	Early Majority
540	20+ hours per week (full-time)	$10,000-$15,000	Yes	2-3 years	Early Adopter
541	10-15 hours per week	$5,000-$8,000	No	2-3 years	Early Adopter
542	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years	Early Majority
543	5-10 hours per week (1 course)	$4,000-$6,000	Yes	2-3 years	Early Adopter
544	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years	Early Adopter
545	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years	Innovator
546	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years	Early Adopter
547	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years	Early Adopter
548	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years	Early Adopter
549	10-15 hours per week	$6,000-$8,000	Yes	1-2 years	Early Adopter
550	20+ hours per week (full-time)	$10,000-$15,000	No	3-5 years or flexible	Innovator
551	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years	Early Adopter
552	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years	Early Majority
553	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible	Early Majority
554	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	2-3 years	Early Adopter
555	5-10 hours per week (part-time)	$6,000-$8,000	Yes	3-5 years	Early Majority
556	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years	Early Majority
557	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years	Early Adopter
558	10-15 hours per week	$8,000-$12,000	Yes	2-3 years	Early Adopter
559	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years	Early Adopter
560	10-15 hours per week	$5,000-$8,000	Yes	2-3 years	Early Adopter
561	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years	Early Adopter
562	5-10 hours per week (1 course)	$4,000-$6,000	Yes	1-2 years	Early Adopter
563	5-10 hours per week (part-time)	$5,000-$8,000	No	3-5 years or flexible	Early Majority
564	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years	Early Adopter
565	5-10 hours per week (1 course)	$3,500-$6,000	Yes	3-5 years	Early Majority
566	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible	Early Adopter
567	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years	Early Majority
568	5-10 hours per week (1 course)	$5,000-$8,000	Yes	3-5 years	Early Majority
569	10-15 hours per week	$10,000-$15,000	No	3-5 years or flexible	Early Adopter
570	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years	Early Adopter
571	5-10 hours per week (1 course)	$4,000-$6,000	Yes	2-3 years	Early Adopter
572	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years	Early Adopter
573	10-15 hours per week	$5,000-$8,000	No	2-3 years	Early Adopter
574	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years	Early Majority
575	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years	Early Majority
576	10-15 hours per week	$5,000-$8,000	No	3-5 years or flexible	Early Adopter
577	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years	Early Adopter
578	10-15 hours per week	$10,000-$15,000	Yes	2-3 years	Innovator
579	5-10 hours per week (part-time)	$2,000-$4,000	Yes	1-2 years	Early Adopter
580	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years	Early Adopter
581	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years	Early Adopter
582	5-10 hours per week (1 course)	$2,000-$4,000	Yes	3-5 years	Early Majority
583	5-10 hours per week (1 course)	$3,500-$6,000	Yes	1-2 years	Early Adopter
584	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years	Early Adopter
585	10-15 hours per week	$5,000-$8,000	Yes	3-5 years	Early Majority
586	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years	Early Majority
587	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	3-5 years	Early Majority
588	10-15 hours per week	$10,000-$15,000	Yes	2-3 years	Innovator
589	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years	Early Adopter
590	15-20 hours per week (2 courses)	$8,000-$12,000	No	2-3 years	Innovator
591	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	3-5 years or flexible	Early Adopter
592	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible	Late Majority
593	5-10 hours per week (1 course)	$6,000-$8,000	No	3-5 years or flexible	Early Majority
594	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years	Early Majority
595	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years	Early Majority
596	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible	Early Majority
597	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	3-5 years or flexible	Early Adopter
598	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years	Innovator
599	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years	Innovator
600	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years	Early Majority
601	10-15 hours per week	$6,000-$8,000	No	2-3 years	Early Adopter
602	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years	Early Adopter
603	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years	Early Majority
604	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years	Early Adopter
605	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years	Early Adopter
606	10-15 hours per week	$10,000-$15,000	No	3-5 years or flexible	Early Adopter
607	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years	Innovator
608	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years	Early Adopter
609	10-15 hours per week	$10,000-$12,000	Yes	2-3 years	Early Adopter
610	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years	Innovator
611	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	3-5 years or flexible	Innovator
612	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	1-2 years	Innovator
613	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible	Early Majority
614	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years	Early Adopter
615	10-15 hours per week	$10,000-$12,000	No	3-5 years or flexible	Innovator
616	10-15 hours per week	$10,000-$12,000	Yes	2-3 years	Early Adopter
617	5-10 hours per week (1 course)	$8,000-$12,000	Yes	3-5 years	Early Majority
618	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years	Early Adopter
619	10-15 hours per week	$8,000-$12,000	Yes	3-5 years	Early Adopter
620	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible	Early Majority
621	10-15 hours per week	$6,000-$8,000	Yes	1-2 years	Innovator
622	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years	Innovator
623	10-15 hours per week	$8,000-$12,000	Yes	1-2 years	Innovator
624	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	3-5 years or flexible	Innovator
625	5-10 hours per week (part-time)	$3,500-$6,000	Yes	2-3 years	Early Majority
626	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	3-5 years or flexible	Early Majority
627	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years	Innovator
628	10-15 hours per week	$8,000-$12,000	Yes	2-3 years	Innovator
629	10-15 hours per week	$12,000-$15,000	Yes	2-3 years	Early Majority
630	5-10 hours per week (1 course)	$3,500-$6,000	Yes	2-3 years	Early Majority
631	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible	Early Adopter
632	10-15 hours per week	$10,000-$12,000	Yes	2-3 years	Early Majority
633	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible	Early Majority
634	5-10 hours per week (1 course)	$3,500-$6,000	Yes	2-3 years	Early Adopter
635	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible	Innovator
636	5-10 hours per week (part-time)	$4,000-$6,000	Yes	1-2 years	Innovator
637	10-15 hours per week	$10,000-$15,000	No	3-5 years or flexible	Early Adopter
638	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible	Early Majority
639	5-10 hours per week (1 course)	$6,000-$8,000	Yes	3-5 years	Early Majority
640	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	2-3 years	Innovator
641	5-10 hours per week (1 course)	$4,000-$6,000	Yes	1-2 years	Innovator
642	10-15 hours per week	$10,000-$12,000	No	3-5 years or flexible	Early Majority
643	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years	Innovator
644	5-10 hours per week (1 course)	$2,000-$4,000	Yes	3-5 years	Early Adopter
645	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible	Early Majority
646	10-15 hours per week	$10,000-$15,000	Yes	3-5 years	Early Adopter
647	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	1-2 years	Innovator
648	10-15 hours per week	$10,000-$12,000	Yes	2-3 years	Innovator
649	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	3-5 years or flexible	Innovator
650	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years	Innovator
651	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years	Early Adopter
652	10-15 hours per week	$5,000-$8,000	No	3-5 years or flexible	Early Majority
653	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years	Early Majority
654	10-15 hours per week	$12,000-$15,000	Yes	1-2 years	Innovator
655	5-10 hours per week (1 course)	$2,000-$4,000	No	3-5 years or flexible	Early Majority
656	5-10 hours per week (1 course)	$3,500-$6,000	Yes	3-5 years	Early Majority
657	10-15 hours per week	$5,000-$8,000	No	3-5 years or flexible	Early Majority
658	5-10 hours per week (1 course)	$12,000-$15,000	Yes	3-5 years	Early Majority
659	5-10 hours per week (1 course)	$2,000-$4,000	No	3-5 years or flexible	Early Majority
660	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible	Early Majority
661	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	2-3 years	Early Majority
662	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible	Early Majority
663	5-10 hours per week (part-time)	$12,000-$15,000	No	3-5 years or flexible	Early Majority
664	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years	Early Majority
665	5-10 hours per week (part-time)	$12,000-$15,000	Yes	3-5 years	Early Majority
666	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	2-3 years	Early Adopter
