ID	Profile	Age	Gender	Location	Current Role	Desired Field	Income Range	Education Level	Time Commitment	Adopter Category
195	Career Changer / Adult Learner	52	Prefer not to say	US	Teacher	Cybersecurity	$30k–$50k	Some College	5-10 hours per week (1 course)	Early Majority
196	Working Professional Considering Graduate Degrees	24	Female	Australia	Software Engineer	MBA	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Adopter
197	Career Changer / Adult Learner	51	Female	India	Software Engineer	Finance	$50k–$70k	Some College	5-10 hours per week (part-time)	Early Majority
198	Career Changer / Adult Learner	28	Non-binary	Australia	Teacher	AI & Machine Learning	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Innovator
199	Career Changer / Adult Learner	36	Non-binary	US	Accountant	AI & Machine Learning	$50k–$70k	Some College	5-10 hours per week (part-time)	Early Majority
200	Working Professional Considering Graduate Degrees	39	Non-binary	India	Software Engineer	AI & Machine Learning	$120k+	Bachelor's	10-15 hours per week	Early Adopter
201	Career Changer / Adult Learner	42	Female	Germany	Accountant	Public Policy	$120k+	Associate	10-15 hours per week (1-2 courses)	Early Adopter
202	Working Professional Considering Graduate Degrees	28	Non-binary	India	HR Coordinator	Finance	$70k–$90k	Master's	10-15 hours per week	Innovator
203	Career Changer / Adult Learner	31	Female	US	HR Coordinator	UX Design	$50k–$70k	Master's	5-10 hours per week (1 course)	Innovator
204	Working Professional Considering Graduate Degrees	49	Female	Germany	Accountant	Public Policy	$30k–$50k	Master's	5-10 hours per week (1 course)	Early Adopter
205	Working Professional Considering Graduate Degrees	24	Prefer not to say	Canada	Marketing Specialist	Data Science	$70k–$90k	Master's	10-15 hours per week (1-2 courses)	Innovator
206	Working Professional Considering Graduate Degrees	33	Male	UK	HR Coordinator	UX Design	$70k–$90k	Some College	10-15 hours per week (1-2 courses)	Early Adopter
207	Working Professional Considering Graduate Degrees	37	Female	Canada	Nurse	MBA	$70k–$90k	Master's	10-15 hours per week	Innovator
208	Career Changer / Adult Learner	37	Male	India	Sales Manager	Finance	$90k–$120k	Associate	10-15 hours per week	Early Adopter
209	Career Changer / Adult Learner	41	Non-binary	Australia	Accountant	Public Policy	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
210	Career Changer / Adult Learner	54	Non-binary	Australia	Marketing Specialist	Healthcare Administration	$30k–$50k	Some College	5-10 hours per week (part-time)	Late Majority
211	Career Changer / Adult Learner	36	Prefer not to say	UK	Nurse	Public Policy	$120k+	Associate	10-15 hours per week (1-2 courses)	Early Adopter
212	Career Changer / Adult Learner	38	Non-binary	Germany	Technician	AI & Machine Learning	$70k–$90k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
213	Career Changer / Adult Learner	52	Female	India	Teacher	Data Science	$120k+	Some College	5-10 hours per week (part-time)	Early Majority
214	Working Professional Considering Graduate Degrees	44	Female	UK	Accountant	Cybersecurity	$50k–$70k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
215	Working Professional Considering Graduate Degrees	45	Non-binary	US	Accountant	Data Science	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
216	Working Professional Considering Graduate Degrees	55	Prefer not to say	UK	Sales Manager	UX Design	$120k+	Associate	5-10 hours per week (1 course)	Early Majority
217	Career Changer / Adult Learner	55	Prefer not to say	Germany	Marketing Specialist	Data Science	$30k–$50k	Associate	5-10 hours per week (1 course)	Early Majority
218	Career Changer / Adult Learner	52	Male	India	Sales Manager	Cybersecurity	$70k–$90k	Bachelor's	5-10 hours per week (part-time)	Early Majority
219	Career Changer / Adult Learner	32	Female	Australia	Technician	Healthcare Administration	$90k–$120k	Associate	10-15 hours per week	Early Adopter
220	Working Professional Considering Graduate Degrees	42	Non-binary	Canada	Teacher	MBA	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
221	Working Professional Considering Graduate Degrees	46	Male	Canada	Nurse	AI & Machine Learning	$50k–$70k	Master's	5-10 hours per week (part-time)	Early Adopter
222	Working Professional Considering Graduate Degrees	29	Male	UK	Technician	Data Science	$30k–$50k	Associate	5-10 hours per week (1 course)	Early Adopter
223	Career Changer / Adult Learner	25	Female	US	Sales Manager	Data Science	$90k–$120k	Some College	20+ hours per week (full-time)	Innovator
224	Working Professional Considering Graduate Degrees	37	Non-binary	Canada	Marketing Specialist	Finance	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Majority
225	Career Changer / Adult Learner	52	Male	Australia	Technician	MBA	$90k–$120k	Bachelor's	5-10 hours per week (1 course)	Early Majority
226	Career Changer / Adult Learner	51	Male	US	Nurse	UX Design	$90k–$120k	Master's	5-10 hours per week (1 course)	Early Adopter
227	Career Changer / Adult Learner	51	Female	UK	HR Coordinator	Public Policy	$120k+	Bachelor's	5-10 hours per week (part-time)	Early Majority
228	Career Changer / Adult Learner	41	Prefer not to say	UK	Teacher	Public Policy	$90k–$120k	Bachelor's	10-15 hours per week (1-2 courses)	Early Adopter
229	Career Changer / Adult Learner	48	Prefer not to say	Australia	Nurse	UX Design	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Majority
230	Career Changer / Adult Learner	42	Prefer not to say	UK	Nurse	AI & Machine Learning	$30k–$50k	Master's	5-10 hours per week (part-time)	Early Adopter
231	Career Changer / Adult Learner	41	Female	India	Sales Manager	UX Design	$30k–$50k	Associate	5-10 hours per week (1 course)	Early Majority
232	Career Changer / Adult Learner	43	Non-binary	Australia	Nurse	Data Science	$90k–$120k	Associate	10-15 hours per week	Early Adopter
233	Career Changer / Adult Learner	34	Non-binary	Germany	Sales Manager	MBA	$120k+	Master's	10-15 hours per week	Innovator
234	Career Changer / Adult Learner	38	Female	India	Technician	UX Design	$50k–$70k	Master's	5-10 hours per week (part-time)	Early Adopter
235	Working Professional Considering Graduate Degrees	52	Non-binary	India	Technician	Finance	$120k+	Associate	5-10 hours per week (1 course)	Early Majority
236	Working Professional Considering Graduate Degrees	47	Female	US	Sales Manager	Cybersecurity	$120k+	Master's	10-15 hours per week	Early Adopter
237	Working Professional Considering Graduate Degrees	37	Non-binary	US	Accountant	Data Science	$30k–$50k	Associate	5-10 hours per week (part-time)	Early Majority
238	Working Professional Considering Graduate Degrees	26	Prefer not to say	Canada	Sales Manager	Cybersecurity	$30k–$50k	Master's	5-10 hours per week (1 course)	Innovator
239	Working Professional Considering Graduate Degrees	53	Male	India	Technician	Healthcare Administration	$70k–$90k	Some College	5-10 hours per week (part-time)	Late Majority
240	Career Changer / Adult Learner	24	Female	Germany	Sales Manager	Healthcare Administration	$70k–$90k	Bachelor's	10-15 hours per week	Innovator
241	Career Changer / Adult Learner	40	Prefer not to say	Germany	Accountant	MBA	$70k–$90k	Some College	10-15 hours per week	Early Majority
242	Career Changer / Adult Learner	35	Male	Australia	Technician	Cybersecurity	$30k–$50k	Master's	5-10 hours per week (part-time)	Innovator
243	Working Professional Considering Graduate Degrees	47	Non-binary	India	Software Engineer	UX Design	$70k–$90k	Bachelor's	10-15 hours per week	Early Adopter
244	Working Professional Considering Graduate Degrees	40	Male	Canada	Software Engineer	Public Policy	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
245	Working Professional Considering Graduate Degrees	36	Non-binary	Germany	Nurse	Cybersecurity	$120k+	Associate	10-15 hours per week	Early Adopter
246	Career Changer / Adult Learner	47	Female	India	HR Coordinator	MBA	$70k–$90k	Master's	10-15 hours per week	Early Adopter
247	Career Changer / Adult Learner	43	Female	UK	Marketing Specialist	Healthcare Administration	$120k+	Some College	10-15 hours per week (1-2 courses)	Early Majority
248	Career Changer / Adult Learner	41	Non-binary	India	Software Engineer	Healthcare Administration	$120k+	Master's	10-15 hours per week (1-2 courses)	Innovator
249	Working Professional Considering Graduate Degrees	44	Non-binary	India	Technician	Data Science	$30k–$50k	Associate	5-10 hours per week (part-time)	Early Majority
250	Working Professional Considering Graduate Degrees	50	Non-binary	Australia	Teacher	AI & Machine Learning	$120k+	Bachelor's	5-10 hours per week (part-time)	Early Majority
251	Career Changer / Adult Learner	38	Female	India	Software Engineer	UX Design	$90k–$120k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
252	Career Changer / Adult Learner	37	Prefer not to say	Canada	Technician	Data Science	$50k–$70k	Master's	5-10 hours per week (part-time)	Early Adopter
253	Working Professional Considering Graduate Degrees	43	Female	Australia	Teacher	Data Science	$70k–$90k	Some College	10-15 hours per week (1-2 courses)	Early Majority
254	Career Changer / Adult Learner	52	Non-binary	Canada	Technician	Healthcare Administration	$70k–$90k	Master's	5-10 hours per week (part-time)	Early Adopter
255	Working Professional Considering Graduate Degrees	24	Male	US	Marketing Specialist	UX Design	$120k+	Associate	20+ hours per week (full-time)	Innovator
256	Career Changer / Adult Learner	47	Male	Germany	HR Coordinator	UX Design	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Majority
257	Working Professional Considering Graduate Degrees	40	Non-binary	India	HR Coordinator	Public Policy	$70k–$90k	Master's	10-15 hours per week (1-2 courses)	Innovator
258	Career Changer / Adult Learner	42	Female	India	Teacher	Public Policy	$90k–$120k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
259	Working Professional Considering Graduate Degrees	43	Male	Australia	Technician	Cybersecurity	$90k–$120k	Bachelor's	10-15 hours per week	Early Adopter
260	Working Professional Considering Graduate Degrees	42	Male	Germany	Sales Manager	Finance	$30k–$50k	Some College	5-10 hours per week (1 course)	Early Majority
261	Career Changer / Adult Learner	26	Prefer not to say	Germany	Nurse	MBA	$50k–$70k	Master's	5-10 hours per week (1 course)	Innovator
262	Career Changer / Adult Learner	28	Prefer not to say	US	Sales Manager	Cybersecurity	$30k–$50k	Master's	5-10 hours per week (1 course)	Innovator
263	Career Changer / Adult Learner	36	Non-binary	Germany	Nurse	Data Science	$70k–$90k	Bachelor's	10-15 hours per week (1-2 courses)	Early Adopter
264	Career Changer / Adult Learner	37	Male	Germany	Technician	UX Design	$70k–$90k	Master's	10-15 hours per week (1-2 courses)	Innovator
265	Working Professional Considering Graduate Degrees	37	Prefer not to say	Canada	Marketing Specialist	AI & Machine Learning	$120k+	Master's	10-15 hours per week (1-2 courses)	Innovator
266	Career Changer / Adult Learner	33	Prefer not to say	US	HR Coordinator	Finance	$90k–$120k	Some College	20+ hours per week (full-time)	Early Adopter
267	Working Professional Considering Graduate Degrees	44	Female	Australia	HR Coordinator	UX Design	$90k–$120k	Associate	10-15 hours per week	Early Adopter
268	Career Changer / Adult Learner	52	Non-binary	US	Nurse	Finance	$120k+	Master's	5-10 hours per week (1 course)	Early Adopter
269	Working Professional Considering Graduate Degrees	25	Prefer not to say	India	Nurse	Healthcare Administration	$90k–$120k	Bachelor's	10-15 hours per week	Innovator
270	Working Professional Considering Graduate Degrees	48	Male	India	Technician	Finance	$120k+	Associate	10-15 hours per week (1-2 courses)	Early Majority
271	Career Changer / Adult Learner	30	Female	Australia	Marketing Specialist	Healthcare Administration	$90k–$120k	Master's	10-15 hours per week	Innovator
272	Career Changer / Adult Learner	52	Male	India	Nurse	Data Science	$70k–$90k	Associate	5-10 hours per week (1 course)	Early Majority
273	Working Professional Considering Graduate Degrees	28	Female	Germany	Sales Manager	Cybersecurity	$90k–$120k	Master's	10-15 hours per week (1-2 courses)	Innovator
274	Career Changer / Adult Learner	40	Female	India	Accountant	AI & Machine Learning	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
275	Career Changer / Adult Learner	38	Female	India	Teacher	Cybersecurity	$50k–$70k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
276	Career Changer / Adult Learner	25	Female	India	Teacher	Finance	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Adopter
277	Career Changer / Adult Learner	34	Non-binary	India	HR Coordinator	Healthcare Administration	$120k+	Bachelor's	10-15 hours per week (1-2 courses)	Innovator
278	Working Professional Considering Graduate Degrees	35	Non-binary	UK	Software Engineer	Healthcare Administration	$70k–$90k	Some College	10-15 hours per week (1-2 courses)	Early Adopter
279	Working Professional Considering Graduate Degrees	53	Female	US	Marketing Specialist	Healthcare Administration	$120k+	Master's	5-10 hours per week (part-time)	Early Majority
280	Career Changer / Adult Learner	50	Female	India	Teacher	Cybersecurity	$90k–$120k	Some College	5-10 hours per week (part-time)	Early Majority
281	Career Changer / Adult Learner	38	Prefer not to say	Germany	Technician	Healthcare Administration	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Majority
282	Working Professional Considering Graduate Degrees	25	Female	UK	Teacher	Cybersecurity	$120k+	Bachelor's	10-15 hours per week	Innovator
283	Career Changer / Adult Learner	43	Female	India	HR Coordinator	Data Science	$90k–$120k	Bachelor's	10-15 hours per week	Early Adopter
284	Working Professional Considering Graduate Degrees	52	Non-binary	US	Software Engineer	UX Design	$90k–$120k	Master's	5-10 hours per week (part-time)	Early Adopter
285	Career Changer / Adult Learner	36	Female	Canada	Teacher	Finance	$50k–$70k	Master's	5-10 hours per week (part-time)	Early Adopter
286	Career Changer / Adult Learner	53	Prefer not to say	India	Marketing Specialist	Healthcare Administration	$120k+	Some College	5-10 hours per week (1 course)	Late Majority
287	Working Professional Considering Graduate Degrees	42	Male	India	Technician	UX Design	$120k+	Some College	10-15 hours per week	Early Majority
288	Career Changer / Adult Learner	24	Male	UK	Accountant	MBA	$30k–$50k	Some College	5-10 hours per week (1 course)	Early Adopter
289	Career Changer / Adult Learner	32	Female	Canada	Sales Manager	Healthcare Administration	$30k–$50k	Associate	5-10 hours per week (part-time)	Early Adopter
290	Career Changer / Adult Learner	44	Male	UK	Accountant	Healthcare Administration	$90k–$120k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
291	Career Changer / Adult Learner	38	Non-binary	Australia	Software Engineer	Finance	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
292	Working Professional Considering Graduate Degrees	41	Prefer not to say	Germany	Sales Manager	Cybersecurity	$70k–$90k	Some College	10-15 hours per week	Early Majority
293	Career Changer / Adult Learner	24	Male	UK	Technician	Cybersecurity	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Innovator
294	Working Professional Considering Graduate Degrees	45	Male	Australia	HR Coordinator	Public Policy	$120k+	Some College	10-15 hours per week	Early Majority
295	Career Changer / Adult Learner	42	Male	UK	Software Engineer	Healthcare Administration	$120k+	Bachelor's	10-15 hours per week	Early Adopter
296	Career Changer / Adult Learner	39	Prefer not to say	Canada	HR Coordinator	UX Design	$120k+	Associate	10-15 hours per week (1-2 courses)	Early Adopter
297	Working Professional Considering Graduate Degrees	32	Non-binary	Canada	Nurse	AI & Machine Learning	$120k+	Master's	10-15 hours per week (1-2 courses)	Innovator
298	Career Changer / Adult Learner	37	Non-binary	Australia	Sales Manager	AI & Machine Learning	$90k–$120k	Some College	10-15 hours per week	Early Majority
299	Working Professional Considering Graduate Degrees	34	Female	UK	Teacher	UX Design	$120k+	Master's	10-15 hours per week	Innovator
300	Career Changer / Adult Learner	52	Male	Canada	Technician	Healthcare Administration	$90k–$120k	Some College	5-10 hours per week (part-time)	Early Majority
301	Working Professional Considering Graduate Degrees	37	Male	US	HR Coordinator	Finance	$120k+	Some College	15-20 hours per week (2 courses)	Early Adopter
302	Working Professional Considering Graduate Degrees	33	Male	India	Teacher	Data Science	$50k–$70k	Master's	5-10 hours per week (1 course)	Innovator
303	Working Professional Considering Graduate Degrees	35	Male	Australia	HR Coordinator	Healthcare Administration	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
304	Working Professional Considering Graduate Degrees	34	Non-binary	Canada	Accountant	AI & Machine Learning	$70k–$90k	Associate	10-15 hours per week	Early Adopter
305	Working Professional Considering Graduate Degrees	42	Prefer not to say	Australia	Software Engineer	Cybersecurity	$90k–$120k	Master's	10-15 hours per week	Innovator
306	Working Professional Considering Graduate Degrees	37	Non-binary	Canada	Sales Manager	Cybersecurity	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
307	Working Professional Considering Graduate Degrees	29	Prefer not to say	US	HR Coordinator	UX Design	$120k+	Associate	20+ hours per week (full-time)	Innovator
308	Career Changer / Adult Learner	33	Prefer not to say	Canada	Software Engineer	Cybersecurity	$90k–$120k	Some College	10-15 hours per week	Early Adopter
309	Career Changer / Adult Learner	40	Female	Canada	Marketing Specialist	Data Science	$50k–$70k	Master's	5-10 hours per week (1 course)	Early Adopter
310	Career Changer / Adult Learner	47	Male	UK	HR Coordinator	Data Science	$120k+	Bachelor's	10-15 hours per week (1-2 courses)	Early Adopter
311	Career Changer / Adult Learner	40	Non-binary	Germany	Nurse	Finance	$90k–$120k	Bachelor's	10-15 hours per week (1-2 courses)	Early Adopter
312	Working Professional Considering Graduate Degrees	29	Prefer not to say	UK	Software Engineer	Healthcare Administration	$70k–$90k	Master's	10-15 hours per week (1-2 courses)	Innovator
313	Working Professional Considering Graduate Degrees	24	Prefer not to say	Canada	Software Engineer	Public Policy	$90k–$120k	Some College	10-15 hours per week	Early Adopter
314	Career Changer / Adult Learner	44	Male	US	Marketing Specialist	Data Science	$120k+	Associate	20+ hours per week (full-time)	Early Adopter
315	Career Changer / Adult Learner	38	Non-binary	Canada	Technician	Healthcare Administration	$120k+	Associate	10-15 hours per week (1-2 courses)	Early Adopter
316	Working Professional Considering Graduate Degrees	43	Prefer not to say	Canada	Sales Manager	Data Science	$90k–$120k	Some College	10-15 hours per week (1-2 courses)	Early Majority
317	Career Changer / Adult Learner	44	Female	India	Nurse	AI & Machine Learning	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
318	Career Changer / Adult Learner	41	Male	Australia	Teacher	Finance	$90k–$120k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
319	Career Changer / Adult Learner	50	Non-binary	India	Teacher	Finance	$120k+	Associate	5-10 hours per week (part-time)	Early Majority
320	Working Professional Considering Graduate Degrees	54	Non-binary	Australia	Technician	UX Design	$50k–$70k	Bachelor's	5-10 hours per week (1 course)	Early Majority
321	Working Professional Considering Graduate Degrees	55	Male	India	Sales Manager	UX Design	$30k–$50k	Some College	5-10 hours per week (1 course)	Late Majority
322	Career Changer / Adult Learner	27	Prefer not to say	UK	Nurse	Public Policy	$120k+	Associate	10-15 hours per week (1-2 courses)	Innovator
323	Career Changer / Adult Learner	27	Male	India	Technician	MBA	$120k+	Master's	10-15 hours per week	Innovator
324	Career Changer / Adult Learner	46	Non-binary	Canada	Nurse	Healthcare Administration	$120k+	Master's	10-15 hours per week	Early Adopter
325	Career Changer / Adult Learner	44	Male	Australia	Nurse	Finance	$90k–$120k	Associate	10-15 hours per week	Early Adopter
326	Career Changer / Adult Learner	31	Male	UK	Accountant	Public Policy	$30k–$50k	Master's	5-10 hours per week (1 course)	Innovator
327	Working Professional Considering Graduate Degrees	48	Female	Germany	Accountant	Cybersecurity	$30k–$50k	Associate	5-10 hours per week (part-time)	Early Majority
328	Career Changer / Adult Learner	44	Non-binary	Australia	Sales Manager	AI & Machine Learning	$30k–$50k	Some College	5-10 hours per week (1 course)	Early Majority
329	Career Changer / Adult Learner	47	Female	US	Sales Manager	Data Science	$90k–$120k	Bachelor's	10-15 hours per week	Early Adopter
330	Career Changer / Adult Learner	31	Non-binary	Australia	Sales Manager	Public Policy	$120k+	Master's	10-15 hours per week (1-2 courses)	Innovator
331	Working Professional Considering Graduate Degrees	50	Non-binary	US	Technician	Healthcare Administration	$30k–$50k	Some College	5-10 hours per week (1 course)	Early Majority
332	Career Changer / Adult Learner	33	Non-binary	US	Marketing Specialist	Public Policy	$70k–$90k	Master's	10-15 hours per week (1-2 courses)	Innovator
333	Working Professional Considering Graduate Degrees	52	Prefer not to say	Germany	HR Coordinator	Healthcare Administration	$30k–$50k	Some College	5-10 hours per week (1 course)	Early Majority
334	Career Changer / Adult Learner	49	Male	Australia	Nurse	Healthcare Administration	$70k–$90k	Master's	10-15 hours per week (1-2 courses)	Early Adopter
335	Working Professional Considering Graduate Degrees	26	Non-binary	US	Technician	AI & Machine Learning	$90k–$120k	Associate	20+ hours per week (full-time)	Innovator
336	Career Changer / Adult Learner	36	Non-binary	US	Accountant	MBA	$120k+	Associate	20+ hours per week (full-time)	Early Adopter
337	Career Changer / Adult Learner	45	Prefer not to say	Germany	Nurse	Cybersecurity	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Majority
338	Working Professional Considering Graduate Degrees	36	Female	Germany	Teacher	AI & Machine Learning	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
339	Working Professional Considering Graduate Degrees	50	Female	Canada	Sales Manager	Data Science	$120k+	Some College	5-10 hours per week (1 course)	Early Majority
340	Working Professional Considering Graduate Degrees	50	Non-binary	UK	Nurse	Cybersecurity	$120k+	Some College	5-10 hours per week (1 course)	Early Majority
341	Working Professional Considering Graduate Degrees	28	Non-binary	India	Marketing Specialist	Healthcare Administration	$50k–$70k	Some College	5-10 hours per week (1 course)	Early Adopter
342	Working Professional Considering Graduate Degrees	24	Non-binary	Canada	Software Engineer	Public Policy	$30k–$50k	Associate	5-10 hours per week (1 course)	Early Adopter
343	Career Changer / Adult Learner	54	Male	US	HR Coordinator	MBA	$90k–$120k	Master's	5-10 hours per week (1 course)	Early Majority
344	Career Changer / Adult Learner	51	Female	Germany	Technician	Public Policy	$90k–$120k	Associate	5-10 hours per week (part-time)	Early Majority
345	Career Changer / Adult Learner	46	Non-binary	Canada	HR Coordinator	Healthcare Administration	$90k–$120k	Master's	10-15 hours per week	Early Adopter
346	Working Professional Considering Graduate Degrees	35	Prefer not to say	UK	Accountant	Data Science	$70k–$90k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
347	Career Changer / Adult Learner	42	Female	Canada	Marketing Specialist	Healthcare Administration	$30k–$50k	Master's	5-10 hours per week (part-time)	Early Adopter
348	Career Changer / Adult Learner	54	Female	Canada	Accountant	AI & Machine Learning	$120k+	Some College	5-10 hours per week (1 course)	Late Majority
349	Working Professional Considering Graduate Degrees	51	Female	Canada	HR Coordinator	AI & Machine Learning	$90k–$120k	Bachelor's	5-10 hours per week (part-time)	Early Majority
350	Career Changer / Adult Learner	50	Female	Canada	Nurse	Data Science	$70k–$90k	Associate	5-10 hours per week (part-time)	Early Majority
351	Working Professional Considering Graduate Degrees	33	Prefer not to say	India	Technician	Finance	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Adopter
352	Career Changer / Adult Learner	52	Non-binary	Germany	Teacher	Healthcare Administration	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Majority
353	Career Changer / Adult Learner	47	Non-binary	US	HR Coordinator	Data Science	$50k–$70k	Master's	5-10 hours per week (1 course)	Early Adopter
354	Career Changer / Adult Learner	53	Female	US	Accountant	Cybersecurity	$120k+	Master's	5-10 hours per week (1 course)	Early Majority
355	Career Changer / Adult Learner	32	Female	US	Nurse	Data Science	$70k–$90k	Master's	10-15 hours per week	Innovator
356	Career Changer / Adult Learner	26	Prefer not to say	Canada	Technician	MBA	$120k+	Master's	10-15 hours per week (1-2 courses)	Innovator
357	Career Changer / Adult Learner	25	Female	India	HR Coordinator	Finance	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Adopter
358	Working Professional Considering Graduate Degrees	50	Female	US	Marketing Specialist	Finance	$120k+	Some College	5-10 hours per week (part-time)	Early Majority
359	Working Professional Considering Graduate Degrees	31	Non-binary	UK	HR Coordinator	Data Science	$120k+	Associate	10-15 hours per week	Early Adopter
360	Working Professional Considering Graduate Degrees	48	Female	Germany	Accountant	AI & Machine Learning	$120k+	Associate	10-15 hours per week (1-2 courses)	Early Majority
361	Career Changer / Adult Learner	47	Prefer not to say	UK	Teacher	Public Policy	$90k–$120k	Master's	10-15 hours per week	Early Adopter
362	Working Professional Considering Graduate Degrees	41	Male	Germany	Teacher	Data Science	$70k–$90k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
363	Working Professional Considering Graduate Degrees	51	Non-binary	Canada	Marketing Specialist	Cybersecurity	$90k–$120k	Associate	5-10 hours per week (1 course)	Early Majority
364	Working Professional Considering Graduate Degrees	25	Male	UK	Software Engineer	MBA	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Innovator
365	Career Changer / Adult Learner	28	Non-binary	UK	HR Coordinator	AI & Machine Learning	$120k+	Bachelor's	10-15 hours per week (1-2 courses)	Innovator
366	Career Changer / Adult Learner	54	Prefer not to say	Germany	Nurse	Public Policy	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Majority
367	Working Professional Considering Graduate Degrees	38	Male	Australia	Accountant	Healthcare Administration	$70k–$90k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
368	Career Changer / Adult Learner	55	Female	Australia	Nurse	Finance	$120k+	Bachelor's	5-10 hours per week (part-time)	Early Majority
369	Working Professional Considering Graduate Degrees	49	Prefer not to say	Canada	Marketing Specialist	Finance	$70k–$90k	Master's	10-15 hours per week	Early Adopter
370	Working Professional Considering Graduate Degrees	32	Female	Germany	Technician	Healthcare Administration	$120k+	Bachelor's	10-15 hours per week	Innovator
371	Career Changer / Adult Learner	47	Male	Canada	Teacher	Data Science	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Early Majority
372	Career Changer / Adult Learner	46	Prefer not to say	US	HR Coordinator	Public Policy	$70k–$90k	Some College	10-15 hours per week (1-2 courses)	Early Majority
373	Career Changer / Adult Learner	29	Female	Germany	HR Coordinator	UX Design	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Majority
374	Career Changer / Adult Learner	29	Prefer not to say	US	Nurse	AI & Machine Learning	$70k–$90k	Some College	10-15 hours per week	Early Adopter
375	Working Professional Considering Graduate Degrees	31	Female	US	Teacher	Cybersecurity	$50k–$70k	Master's	5-10 hours per week (1 course)	Innovator
376	Working Professional Considering Graduate Degrees	44	Female	Canada	HR Coordinator	MBA	$30k–$50k	Some College	5-10 hours per week (1 course)	Early Majority
377	Working Professional Considering Graduate Degrees	31	Prefer not to say	Australia	Accountant	AI & Machine Learning	$90k–$120k	Bachelor's	10-15 hours per week	Innovator
378	Career Changer / Adult Learner	37	Male	UK	Technician	AI & Machine Learning	$50k–$70k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
379	Working Professional Considering Graduate Degrees	29	Non-binary	Australia	Marketing Specialist	MBA	$50k–$70k	Some College	5-10 hours per week (1 course)	Early Majority
380	Career Changer / Adult Learner	24	Prefer not to say	Australia	Marketing Specialist	Finance	$70k–$90k	Some College	10-15 hours per week	Early Adopter
381	Working Professional Considering Graduate Degrees	24	Non-binary	UK	HR Coordinator	UX Design	$120k+	Associate	10-15 hours per week (1-2 courses)	Innovator
382	Career Changer / Adult Learner	41	Male	UK	Teacher	Data Science	$50k–$70k	Some College	5-10 hours per week (part-time)	Early Majority
383	Working Professional Considering Graduate Degrees	49	Prefer not to say	US	Accountant	Finance	$120k+	Master's	10-15 hours per week (1-2 courses)	Early Adopter
384	Working Professional Considering Graduate Degrees	25	Non-binary	India	Marketing Specialist	UX Design	$30k–$50k	Master's	5-10 hours per week (part-time)	Innovator
385	Working Professional Considering Graduate Degrees	45	Prefer not to say	UK	Teacher	Finance	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
386	Career Changer / Adult Learner	46	Non-binary	US	Nurse	AI & Machine Learning	$30k–$50k	Associate	5-10 hours per week (part-time)	Early Majority
387	Career Changer / Adult Learner	31	Female	Canada	Marketing Specialist	Data Science	$120k+	Associate	10-15 hours per week (1-2 courses)	Early Adopter
388	Working Professional Considering Graduate Degrees	31	Male	Canada	Sales Manager	Healthcare Administration	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
389	Working Professional Considering Graduate Degrees	51	Male	US	HR Coordinator	Cybersecurity	$50k–$70k	Master's	5-10 hours per week (1 course)	Early Adopter
390	Working Professional Considering Graduate Degrees	50	Male	Canada	Marketing Specialist	MBA	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Majority
