ID	Profile	Age	Gender	Location	Current Role	Desired Field	Income Range	Education Level
270	Working Professional Considering Graduate Degrees	48	Male	India	Technician	Finance	$120k+	Associate
271	Career Changer / Adult Learner	30	Female	Australia	Marketing Specialist	Healthcare Administration	$90k–$120k	Master's
272	Career Changer / Adult Learner	52	Male	India	Nurse	Data Science	$70k–$90k	Associate
273	Working Professional Considering Graduate Degrees	28	Female	Germany	Sales Manager	Cybersecurity	$90k–$120k	Master's
274	Career Changer / Adult Learner	40	Female	India	Accountant	AI & Machine Learning	$30k–$50k	Bachelor's
275	Career Changer / Adult Learner	38	Female	India	Teacher	Cybersecurity	$50k–$70k	Bachelor's
276	Career Changer / Adult Learner	25	Female	India	Teacher	Finance	$50k–$70k	Associate
277	Career Changer / Adult Learner	34	Non-binary	India	HR Coordinator	Healthcare Administration	$120k+	Bachelor's
278	Working Professional Considering Graduate Degrees	35	Non-binary	UK	Software Engineer	Healthcare Administration	$70k–$90k	Some College
279	Working Professional Considering Graduate Degrees	53	Female	US	Marketing Specialist	Healthcare Administration	$120k+	Master's
280	Career Changer / Adult Learner	50	Female	India	Teacher	Cybersecurity	$90k–$120k	Some College
281	Career Changer / Adult Learner	38	Prefer not to say	Germany	Technician	Healthcare Administration	$50k–$70k	Associate
282	Working Professional Considering Graduate Degrees	25	Female	UK	Teacher	Cybersecurity	$120k+	Bachelor's
283	Career Changer / Adult Learner	43	Female	India	HR Coordinator	Data Science	$90k–$120k	Bachelor's
284	Working Professional Considering Graduate Degrees	52	Non-binary	US	Software Engineer	UX Design	$90k–$120k	Master's
285	Career Changer / Adult Learner	36	Female	Canada	Teacher	Finance	$50k–$70k	Master's
286	Career Changer / Adult Learner	53	Prefer not to say	India	Marketing Specialist	Healthcare Administration	$120k+	Some College
287	Working Professional Considering Graduate Degrees	42	Male	India	Technician	UX Design	$120k+	Some College
288	Career Changer / Adult Learner	24	Male	UK	Accountant	MBA	$30k–$50k	Some College
289	Career Changer / Adult Learner	32	Female	Canada	Sales Manager	Healthcare Administration	$30k–$50k	Associate
290	Career Changer / Adult Learner	44	Male	UK	Accountant	Healthcare Administration	$90k–$120k	Associate
291	Career Changer / Adult Learner	38	Non-binary	Australia	Software Engineer	Finance	$30k–$50k	Bachelor's
292	Working Professional Considering Graduate Degrees	41	Prefer not to say	Germany	Sales Manager	Cybersecurity	$70k–$90k	Some College
293	Career Changer / Adult Learner	24	Male	UK	Technician	Cybersecurity	$30k–$50k	Bachelor's
294	Working Professional Considering Graduate Degrees	45	Male	Australia	HR Coordinator	Public Policy	$120k+	Some College
295	Career Changer / Adult Learner	42	Male	UK	Software Engineer	Healthcare Administration	$120k+	Bachelor's
296	Career Changer / Adult Learner	39	Prefer not to say	Canada	HR Coordinator	UX Design	$120k+	Associate
297	Working Professional Considering Graduate Degrees	32	Non-binary	Canada	Nurse	AI & Machine Learning	$120k+	Master's
298	Career Changer / Adult Learner	37	Non-binary	Australia	Sales Manager	AI & Machine Learning	$90k–$120k	Some College
299	Working Professional Considering Graduate Degrees	34	Female	UK	Teacher	UX Design	$120k+	Master's
300	Career Changer / Adult Learner	52	Male	Canada	Technician	Healthcare Administration	$90k–$120k	Some College
301	Working Professional Considering Graduate Degrees	37	Male	US	HR Coordinator	Finance	$120k+	Some College
302	Working Professional Considering Graduate Degrees	33	Male	India	Teacher	Data Science	$50k–$70k	Master's
303	Working Professional Considering Graduate Degrees	35	Male	Australia	HR Coordinator	Healthcare Administration	$30k–$50k	Bachelor's
304	Working Professional Considering Graduate Degrees	34	Non-binary	Canada	Accountant	AI & Machine Learning	$70k–$90k	Associate
305	Working Professional Considering Graduate Degrees	42	Prefer not to say	Australia	Software Engineer	Cybersecurity	$90k–$120k	Master's
306	Working Professional Considering Graduate Degrees	37	Non-binary	Canada	Sales Manager	Cybersecurity	$30k–$50k	Bachelor's
307	Working Professional Considering Graduate Degrees	29	Prefer not to say	US	HR Coordinator	UX Design	$120k+	Associate
308	Career Changer / Adult Learner	33	Prefer not to say	Canada	Software Engineer	Cybersecurity	$90k–$120k	Some College
309	Career Changer / Adult Learner	40	Female	Canada	Marketing Specialist	Data Science	$50k–$70k	Master's
310	Career Changer / Adult Learner	47	Male	UK	HR Coordinator	Data Science	$120k+	Bachelor's
311	Career Changer / Adult Learner	40	Non-binary	Germany	Nurse	Finance	$90k–$120k	Bachelor's
312	Working Professional Considering Graduate Degrees	29	Prefer not to say	UK	Software Engineer	Healthcare Administration	$70k–$90k	Master's
313	Working Professional Considering Graduate Degrees	24	Prefer not to say	Canada	Software Engineer	Public Policy	$90k–$120k	Some College
314	Career Changer / Adult Learner	44	Male	US	Marketing Specialist	Data Science	$120k+	Associate
315	Career Changer / Adult Learner	38	Non-binary	Canada	Technician	Healthcare Administration	$120k+	Associate
316	Working Professional Considering Graduate Degrees	43	Prefer not to say	Canada	Sales Manager	Data Science	$90k–$120k	Some College
317	Career Changer / Adult Learner	44	Female	India	Nurse	AI & Machine Learning	$30k–$50k	Bachelor's
318	Career Changer / Adult Learner	41	Male	Australia	Teacher	Finance	$90k–$120k	Associate
319	Career Changer / Adult Learner	50	Non-binary	India	Teacher	Finance	$120k+	Associate
320	Working Professional Considering Graduate Degrees	54	Non-binary	Australia	Technician	UX Design	$50k–$70k	Bachelor's
321	Working Professional Considering Graduate Degrees	55	Male	India	Sales Manager	UX Design	$30k–$50k	Some College
322	Career Changer / Adult Learner	27	Prefer not to say	UK	Nurse	Public Policy	$120k+	Associate
323	Career Changer / Adult Learner	27	Male	India	Technician	MBA	$120k+	Master's
324	Career Changer / Adult Learner	46	Non-binary	Canada	Nurse	Healthcare Administration	$120k+	Master's
325	Career Changer / Adult Learner	44	Male	Australia	Nurse	Finance	$90k–$120k	Associate
326	Career Changer / Adult Learner	31	Male	UK	Accountant	Public Policy	$30k–$50k	Master's
327	Working Professional Considering Graduate Degrees	48	Female	Germany	Accountant	Cybersecurity	$30k–$50k	Associate
328	Career Changer / Adult Learner	44	Non-binary	Australia	Sales Manager	AI & Machine Learning	$30k–$50k	Some College
329	Career Changer / Adult Learner	47	Female	US	Sales Manager	Data Science	$90k–$120k	Bachelor's
330	Career Changer / Adult Learner	31	Non-binary	Australia	Sales Manager	Public Policy	$120k+	Master's
331	Working Professional Considering Graduate Degrees	50	Non-binary	US	Technician	Healthcare Administration	$30k–$50k	Some College
332	Career Changer / Adult Learner	33	Non-binary	US	Marketing Specialist	Public Policy	$70k–$90k	Master's
333	Working Professional Considering Graduate Degrees	52	Prefer not to say	Germany	HR Coordinator	Healthcare Administration	$30k–$50k	Some College
334	Career Changer / Adult Learner	49	Male	Australia	Nurse	Healthcare Administration	$70k–$90k	Master's
335	Working Professional Considering Graduate Degrees	26	Non-binary	US	Technician	AI & Machine Learning	$90k–$120k	Associate
336	Career Changer / Adult Learner	36	Non-binary	US	Accountant	MBA	$120k+	Associate
337	Career Changer / Adult Learner	45	Prefer not to say	Germany	Nurse	Cybersecurity	$30k–$50k	Some College
338	Working Professional Considering Graduate Degrees	36	Female	Germany	Teacher	AI & Machine Learning	$30k–$50k	Bachelor's
339	Working Professional Considering Graduate Degrees	50	Female	Canada	Sales Manager	Data Science	$120k+	Some College
340	Working Professional Considering Graduate Degrees	50	Non-binary	UK	Nurse	Cybersecurity	$120k+	Some College
341	Working Professional Considering Graduate Degrees	28	Non-binary	India	Marketing Specialist	Healthcare Administration	$50k–$70k	Some College
342	Working Professional Considering Graduate Degrees	24	Non-binary	Canada	Software Engineer	Public Policy	$30k–$50k	Associate
343	Career Changer / Adult Learner	54	Male	US	HR Coordinator	MBA	$90k–$120k	Master's
344	Career Changer / Adult Learner	51	Female	Germany	Technician	Public Policy	$90k–$120k	Associate
345	Career Changer / Adult Learner	46	Non-binary	Canada	HR Coordinator	Healthcare Administration	$90k–$120k	Master's
346	Working Professional Considering Graduate Degrees	35	Prefer not to say	UK	Accountant	Data Science	$70k–$90k	Associate
347	Career Changer / Adult Learner	42	Female	Canada	Marketing Specialist	Healthcare Administration	$30k–$50k	Master's
348	Career Changer / Adult Learner	54	Female	Canada	Accountant	AI & Machine Learning	$120k+	Some College
349	Working Professional Considering Graduate Degrees	51	Female	Canada	HR Coordinator	AI & Machine Learning	$90k–$120k	Bachelor's
350	Career Changer / Adult Learner	50	Female	Canada	Nurse	Data Science	$70k–$90k	Associate
351	Working Professional Considering Graduate Degrees	33	Prefer not to say	India	Technician	Finance	$50k–$70k	Associate
352	Career Changer / Adult Learner	52	Non-binary	Germany	Teacher	Healthcare Administration	$30k–$50k	Some College
353	Career Changer / Adult Learner	47	Non-binary	US	HR Coordinator	Data Science	$50k–$70k	Master's
354	Career Changer / Adult Learner	53	Female	US	Accountant	Cybersecurity	$120k+	Master's
355	Career Changer / Adult Learner	32	Female	US	Nurse	Data Science	$70k–$90k	Master's
356	Career Changer / Adult Learner	26	Prefer not to say	Canada	Technician	MBA	$120k+	Master's
357	Career Changer / Adult Learner	25	Female	India	HR Coordinator	Finance	$30k–$50k	Some College
358	Working Professional Considering Graduate Degrees	50	Female	US	Marketing Specialist	Finance	$120k+	Some College
359	Working Professional Considering Graduate Degrees	31	Non-binary	UK	HR Coordinator	Data Science	$120k+	Associate
360	Working Professional Considering Graduate Degrees	48	Female	Germany	Accountant	AI & Machine Learning	$120k+	Associate
361	Career Changer / Adult Learner	47	Prefer not to say	UK	Teacher	Public Policy	$90k–$120k	Master's
362	Working Professional Considering Graduate Degrees	41	Male	Germany	Teacher	Data Science	$70k–$90k	Associate
363	Working Professional Considering Graduate Degrees	51	Non-binary	Canada	Marketing Specialist	Cybersecurity	$90k–$120k	Associate
364	Working Professional Considering Graduate Degrees	25	Male	UK	Software Engineer	MBA	$30k–$50k	Bachelor's
365	Career Changer / Adult Learner	28	Non-binary	UK	HR Coordinator	AI & Machine Learning	$120k+	Bachelor's
366	Career Changer / Adult Learner	54	Prefer not to say	Germany	Nurse	Public Policy	$50k–$70k	Associate
367	Working Professional Considering Graduate Degrees	38	Male	Australia	Accountant	Healthcare Administration	$70k–$90k	Associate
368	Career Changer / Adult Learner	55	Female	Australia	Nurse	Finance	$120k+	Bachelor's
369	Working Professional Considering Graduate Degrees	49	Prefer not to say	Canada	Marketing Specialist	Finance	$70k–$90k	Master's
370	Working Professional Considering Graduate Degrees	32	Female	Germany	Technician	Healthcare Administration	$120k+	Bachelor's
371	Career Changer / Adult Learner	47	Male	Canada	Teacher	Data Science	$30k–$50k	Bachelor's
372	Career Changer / Adult Learner	46	Prefer not to say	US	HR Coordinator	Public Policy	$70k–$90k	Some College
373	Career Changer / Adult Learner	29	Female	Germany	HR Coordinator	UX Design	$30k–$50k	Some College
374	Career Changer / Adult Learner	29	Prefer not to say	US	Nurse	AI & Machine Learning	$70k–$90k	Some College
375	Working Professional Considering Graduate Degrees	31	Female	US	Teacher	Cybersecurity	$50k–$70k	Master's
376	Working Professional Considering Graduate Degrees	44	Female	Canada	HR Coordinator	MBA	$30k–$50k	Some College
377	Working Professional Considering Graduate Degrees	31	Prefer not to say	Australia	Accountant	AI & Machine Learning	$90k–$120k	Bachelor's
378	Career Changer / Adult Learner	37	Male	UK	Technician	AI & Machine Learning	$50k–$70k	Bachelor's
379	Working Professional Considering Graduate Degrees	29	Non-binary	Australia	Marketing Specialist	MBA	$50k–$70k	Some College
380	Career Changer / Adult Learner	24	Prefer not to say	Australia	Marketing Specialist	Finance	$70k–$90k	Some College
381	Working Professional Considering Graduate Degrees	24	Non-binary	UK	HR Coordinator	UX Design	$120k+	Associate
382	Career Changer / Adult Learner	41	Male	UK	Teacher	Data Science	$50k–$70k	Some College
383	Working Professional Considering Graduate Degrees	49	Prefer not to say	US	Accountant	Finance	$120k+	Master's
384	Working Professional Considering Graduate Degrees	25	Non-binary	India	Marketing Specialist	UX Design	$30k–$50k	Master's
385	Working Professional Considering Graduate Degrees	45	Prefer not to say	UK	Teacher	Finance	$50k–$70k	Bachelor's
386	Career Changer / Adult Learner	46	Non-binary	US	Nurse	AI & Machine Learning	$30k–$50k	Associate
387	Career Changer / Adult Learner	31	Female	Canada	Marketing Specialist	Data Science	$120k+	Associate
388	Working Professional Considering Graduate Degrees	31	Male	Canada	Sales Manager	Healthcare Administration	$30k–$50k	Bachelor's
389	Working Professional Considering Graduate Degrees	51	Male	US	HR Coordinator	Cybersecurity	$50k–$70k	Master's
390	Working Professional Considering Graduate Degrees	50	Male	Canada	Marketing Specialist	MBA	$50k–$70k	Associate
391	Career Changer / Adult Learner	27	Female	UK	Teacher	Healthcare Administration	$70k–$90k	Associate
392	Career Changer / Adult Learner	38	Male	Germany	HR Coordinator	Finance	$90k–$120k	Bachelor's
393	Career Changer / Adult Learner	50	Prefer not to say	Australia	Software Engineer	Cybersecurity	$120k+	Some College
394	Working Professional Considering Graduate Degrees	25	Male	India	Accountant	Data Science	$30k–$50k	Some College
395	Career Changer / Adult Learner	33	Male	India	HR Coordinator	Public Policy	$90k–$120k	Some College
396	Working Professional Considering Graduate Degrees	41	Non-binary	US	Accountant	Data Science	$70k–$90k	Associate
397	Working Professional Considering Graduate Degrees	41	Female	US	HR Coordinator	Public Policy	$70k–$90k	Master's
398	Career Changer / Adult Learner	37	Male	Canada	Technician	MBA	$30k–$50k	Bachelor's
399	Career Changer / Adult Learner	54	Non-binary	Germany	Teacher	MBA	$120k+	Some College
400	Working Professional Considering Graduate Degrees	43	Male	India	Nurse	Healthcare Administration	$90k–$120k	Some College
401	Working Professional Considering Graduate Degrees	48	Male	US	Sales Manager	Data Science	$50k–$70k	Bachelor's
402	Career Changer / Adult Learner	38	Male	Australia	Nurse	Finance	$120k+	Master's
403	Career Changer / Adult Learner	36	Prefer not to say	Canada	Marketing Specialist	AI & Machine Learning	$90k–$120k	Bachelor's
404	Working Professional Considering Graduate Degrees	47	Non-binary	India	Sales Manager	MBA	$70k–$90k	Master's
405	Career Changer / Adult Learner	28	Prefer not to say	Germany	Technician	UX Design	$120k+	Associate
406	Career Changer / Adult Learner	28	Prefer not to say	Germany	Accountant	AI & Machine Learning	$70k–$90k	Master's
407	Career Changer / Adult Learner	45	Non-binary	UK	Nurse	Data Science	$70k–$90k	Some College
408	Working Professional Considering Graduate Degrees	40	Male	India	Nurse	Cybersecurity	$70k–$90k	Master's
409	Working Professional Considering Graduate Degrees	50	Prefer not to say	UK	Technician	Healthcare Administration	$90k–$120k	Bachelor's
410	Working Professional Considering Graduate Degrees	54	Male	Canada	Sales Manager	UX Design	$30k–$50k	Bachelor's
411	Career Changer / Adult Learner	43	Male	UK	Sales Manager	AI & Machine Learning	$50k–$70k	Some College
412	Working Professional Considering Graduate Degrees	35	Female	India	Software Engineer	Public Policy	$70k–$90k	Associate
413	Working Professional Considering Graduate Degrees	48	Male	US	Nurse	Data Science	$70k–$90k	Bachelor's
414	Working Professional Considering Graduate Degrees	30	Prefer not to say	UK	Software Engineer	UX Design	$70k–$90k	Bachelor's
415	Working Professional Considering Graduate Degrees	42	Male	US	Marketing Specialist	Finance	$50k–$70k	Associate
416	Career Changer / Adult Learner	45	Prefer not to say	UK	HR Coordinator	Healthcare Administration	$70k–$90k	Master's
417	Career Changer / Adult Learner	50	Female	Australia	Technician	AI & Machine Learning	$120k+	Associate
418	Career Changer / Adult Learner	31	Male	UK	Sales Manager	Data Science	$120k+	Bachelor's
419	Working Professional Considering Graduate Degrees	55	Non-binary	India	Nurse	Public Policy	$120k+	Some College
420	Career Changer / Adult Learner	28	Non-binary	India	Sales Manager	Cybersecurity	$50k–$70k	Bachelor's
421	Career Changer / Adult Learner	49	Prefer not to say	US	Software Engineer	Healthcare Administration	$50k–$70k	Associate
422	Career Changer / Adult Learner	42	Non-binary	UK	Sales Manager	Cybersecurity	$70k–$90k	Master's
423	Working Professional Considering Graduate Degrees	44	Prefer not to say	Germany	Marketing Specialist	Healthcare Administration	$90k–$120k	Some College
424	Working Professional Considering Graduate Degrees	37	Female	UK	Marketing Specialist	Public Policy	$90k–$120k	Bachelor's
425	Working Professional Considering Graduate Degrees	28	Prefer not to say	UK	Accountant	Finance	$90k–$120k	Master's
426	Career Changer / Adult Learner	34	Female	Australia	Marketing Specialist	UX Design	$50k–$70k	Some College
427	Career Changer / Adult Learner	50	Female	Australia	Teacher	MBA	$50k–$70k	Bachelor's
428	Career Changer / Adult Learner	36	Prefer not to say	Australia	Nurse	Cybersecurity	$90k–$120k	Some College
429	Working Professional Considering Graduate Degrees	26	Male	Germany	Accountant	MBA	$30k–$50k	Master's
430	Career Changer / Adult Learner	54	Male	Germany	HR Coordinator	Cybersecurity	$70k–$90k	Associate
431	Working Professional Considering Graduate Degrees	41	Prefer not to say	UK	Marketing Specialist	UX Design	$70k–$90k	Associate
432	Career Changer / Adult Learner	55	Female	Australia	Technician	UX Design	$70k–$90k	Some College
433	Career Changer / Adult Learner	53	Prefer not to say	Canada	Marketing Specialist	AI & Machine Learning	$50k–$70k	Master's
434	Working Professional Considering Graduate Degrees	40	Prefer not to say	Germany	Software Engineer	Finance	$50k–$70k	Associate
435	Working Professional Considering Graduate Degrees	48	Male	Australia	Software Engineer	MBA	$120k+	Some College
436	Career Changer / Adult Learner	46	Female	Australia	Teacher	Finance	$120k+	Some College
437	Working Professional Considering Graduate Degrees	45	Prefer not to say	Canada	Sales Manager	MBA	$120k+	Some College
438	Career Changer / Adult Learner	53	Male	India	Technician	UX Design	$50k–$70k	Master's
439	Working Professional Considering Graduate Degrees	46	Male	UK	Accountant	Cybersecurity	$90k–$120k	Master's
440	Career Changer / Adult Learner	28	Male	India	HR Coordinator	Public Policy	$70k–$90k	Bachelor's
441	Career Changer / Adult Learner	53	Non-binary	India	Accountant	UX Design	$70k–$90k	Some College
442	Career Changer / Adult Learner	51	Prefer not to say	US	Technician	Cybersecurity	$30k–$50k	Master's
443	Working Professional Considering Graduate Degrees	49	Male	Germany	Teacher	UX Design	$120k+	Associate
444	Working Professional Considering Graduate Degrees	41	Female	Australia	Nurse	Cybersecurity	$50k–$70k	Master's
445	Working Professional Considering Graduate Degrees	26	Female	Germany	Marketing Specialist	AI & Machine Learning	$30k–$50k	Master's
446	Career Changer / Adult Learner	40	Male	Australia	Teacher	AI & Machine Learning	$70k–$90k	Associate
447	Working Professional Considering Graduate Degrees	39	Non-binary	Canada	Technician	AI & Machine Learning	$50k–$70k	Bachelor's
448	Career Changer / Adult Learner	26	Female	US	Nurse	MBA	$50k–$70k	Some College
449	Career Changer / Adult Learner	29	Prefer not to say	Canada	Accountant	Data Science	$70k–$90k	Master's
450	Career Changer / Adult Learner	50	Prefer not to say	Canada	Technician	Cybersecurity	$50k–$70k	Some College
451	Career Changer / Adult Learner	44	Prefer not to say	US	Teacher	Cybersecurity	$70k–$90k	Master's
452	Working Professional Considering Graduate Degrees	50	Prefer not to say	US	Nurse	AI & Machine Learning	$120k+	Some College
453	Career Changer / Adult Learner	25	Male	Canada	Teacher	UX Design	$50k–$70k	Associate
454	Career Changer / Adult Learner	46	Non-binary	US	Software Engineer	Healthcare Administration	$50k–$70k	Some College
455	Career Changer / Adult Learner	54	Prefer not to say	UK	HR Coordinator	Data Science	$90k–$120k	Some College
456	Working Professional Considering Graduate Degrees	33	Female	Germany	Software Engineer	MBA	$90k–$120k	Bachelor's
457	Working Professional Considering Graduate Degrees	43	Prefer not to say	UK	Nurse	AI & Machine Learning	$50k–$70k	Associate
458	Career Changer / Adult Learner	53	Female	Australia	Sales Manager	UX Design	$50k–$70k	Some College
459	Career Changer / Adult Learner	46	Non-binary	Canada	Nurse	Cybersecurity	$120k+	Associate
460	Working Professional Considering Graduate Degrees	41	Male	UK	Accountant	Finance	$120k+	Master's
461	Career Changer / Adult Learner	26	Prefer not to say	Australia	Accountant	AI & Machine Learning	$120k+	Associate
462	Career Changer / Adult Learner	34	Non-binary	US	Marketing Specialist	Healthcare Administration	$70k–$90k	Bachelor's
463	Career Changer / Adult Learner	39	Male	US	Nurse	Healthcare Administration	$30k–$50k	Some College
464	Working Professional Considering Graduate Degrees	50	Male	UK	Software Engineer	Cybersecurity	$90k–$120k	Associate
465	Working Professional Considering Graduate Degrees	30	Non-binary	UK	Nurse	Cybersecurity	$30k–$50k	Associate
466	Working Professional Considering Graduate Degrees	38	Non-binary	India	Marketing Specialist	Data Science	$30k–$50k	Master's
467	Career Changer / Adult Learner	42	Female	Australia	Technician	Finance	$120k+	Bachelor's
468	Career Changer / Adult Learner	30	Female	Australia	Nurse	Public Policy	$50k–$70k	Bachelor's
469	Working Professional Considering Graduate Degrees	42	Female	UK	Software Engineer	Public Policy	$50k–$70k	Associate
470	Working Professional Considering Graduate Degrees	47	Female	US	HR Coordinator	Cybersecurity	$50k–$70k	Bachelor's
471	Career Changer / Adult Learner	43	Prefer not to say	India	Technician	Healthcare Administration	$30k–$50k	Bachelor's
472	Working Professional Considering Graduate Degrees	26	Non-binary	Australia	Technician	AI & Machine Learning	$120k+	Master's
473	Working Professional Considering Graduate Degrees	52	Prefer not to say	Canada	Sales Manager	Cybersecurity	$90k–$120k	Associate
474	Career Changer / Adult Learner	32	Non-binary	Germany	Nurse	MBA	$120k+	Bachelor's
475	Working Professional Considering Graduate Degrees	41	Male	India	Technician	UX Design	$70k–$90k	Bachelor's
476	Working Professional Considering Graduate Degrees	36	Male	UK	Marketing Specialist	Data Science	$90k–$120k	Bachelor's
477	Working Professional Considering Graduate Degrees	31	Non-binary	Australia	Accountant	MBA	$50k–$70k	Associate
478	Career Changer / Adult Learner	27	Female	India	Teacher	Finance	$90k–$120k	Master's
479	Working Professional Considering Graduate Degrees	40	Male	US	Software Engineer	Finance	$70k–$90k	Some College
480	Working Professional Considering Graduate Degrees	38	Male	Canada	Accountant	Finance	$30k–$50k	Associate
481	Working Professional Considering Graduate Degrees	37	Female	Australia	HR Coordinator	MBA	$120k+	Some College
482	Working Professional Considering Graduate Degrees	38	Female	US	Technician	Healthcare Administration	$90k–$120k	Associate
483	Career Changer / Adult Learner	52	Prefer not to say	Germany	Software Engineer	Cybersecurity	$120k+	Associate
484	Career Changer / Adult Learner	24	Male	Canada	Technician	UX Design	$70k–$90k	Some College
485	Working Professional Considering Graduate Degrees	37	Non-binary	UK	Sales Manager	Data Science	$30k–$50k	Some College
486	Career Changer / Adult Learner	32	Male	Australia	HR Coordinator	Public Policy	$30k–$50k	Bachelor's
487	Career Changer / Adult Learner	53	Female	India	Marketing Specialist	MBA	$90k–$120k	Master's
488	Working Professional Considering Graduate Degrees	43	Male	Canada	Nurse	Public Policy	$70k–$90k	Associate
489	Working Professional Considering Graduate Degrees	36	Female	India	Accountant	AI & Machine Learning	$50k–$70k	Bachelor's
490	Career Changer / Adult Learner	27	Prefer not to say	Canada	Teacher	AI & Machine Learning	$50k–$70k	Master's
491	Working Professional Considering Graduate Degrees	54	Prefer not to say	US	HR Coordinator	AI & Machine Learning	$50k–$70k	Associate
492	Career Changer / Adult Learner	47	Prefer not to say	India	Teacher	Data Science	$30k–$50k	Master's
493	Career Changer / Adult Learner	28	Non-binary	India	Nurse	Public Policy	$30k–$50k	Master's
494	Career Changer / Adult Learner	50	Female	US	Technician	Data Science	$30k–$50k	Associate
495	Working Professional Considering Graduate Degrees	32	Male	UK	Nurse	AI & Machine Learning	$70k–$90k	Master's
496	Working Professional Considering Graduate Degrees	42	Female	US	Software Engineer	Finance	$50k–$70k	Bachelor's
497	Career Changer / Adult Learner	52	Male	India	Nurse	AI & Machine Learning	$30k–$50k	Associate
498	Working Professional Considering Graduate Degrees	49	Female	Canada	Accountant	Finance	$50k–$70k	Some College
499	Career Changer / Adult Learner	50	Non-binary	Australia	Accountant	Cybersecurity	$50k–$70k	Some College
500	Career Changer / Adult Learner	35	Prefer not to say	Germany	Marketing Specialist	Cybersecurity	$120k+	Associate
501	Career Changer / Adult Learner	36	Prefer not to say	Germany	Software Engineer	Cybersecurity	$90k–$120k	Master's
502	Career Changer / Adult Learner	49	Female	US	Sales Manager	MBA	$120k+	Master's
503	Career Changer / Adult Learner	43	Female	US	Accountant	Finance	$120k+	Associate
504	Working Professional Considering Graduate Degrees	26	Non-binary	India	Sales Manager	Public Policy	$120k+	Some College
505	Working Professional Considering Graduate Degrees	51	Female	US	Accountant	Finance	$90k–$120k	Master's
506	Career Changer / Adult Learner	45	Male	US	HR Coordinator	Data Science	$70k–$90k	Bachelor's
507	Career Changer / Adult Learner	43	Non-binary	US	Sales Manager	MBA	$50k–$70k	Associate
508	Career Changer / Adult Learner	29	Male	US	HR Coordinator	AI & Machine Learning	$50k–$70k	Associate
509	Working Professional Considering Graduate Degrees	34	Male	US	Accountant	Data Science	$50k–$70k	Master's
510	Working Professional Considering Graduate Degrees	51	Male	Australia	Technician	Public Policy	$50k–$70k	Some College
511	Career Changer / Adult Learner	38	Female	US	Marketing Specialist	Public Policy	$70k–$90k	Associate
512	Career Changer / Adult Learner	39	Male	Canada	Nurse	Public Policy	$30k–$50k	Bachelor's
513	Working Professional Considering Graduate Degrees	48	Prefer not to say	UK	Sales Manager	UX Design	$70k–$90k	Some College
514	Working Professional Considering Graduate Degrees	47	Female	US	Marketing Specialist	Finance	$70k–$90k	Associate
515	Working Professional Considering Graduate Degrees	25	Female	US	Technician	Finance	$70k–$90k	Bachelor's
516	Career Changer / Adult Learner	29	Female	US	Nurse	Public Policy	$50k–$70k	Associate
517	Career Changer / Adult Learner	50	Non-binary	UK	Teacher	Cybersecurity	$30k–$50k	Some College
518	Working Professional Considering Graduate Degrees	30	Non-binary	UK	Accountant	Data Science	$30k–$50k	Bachelor's
519	Working Professional Considering Graduate Degrees	35	Female	UK	Software Engineer	MBA	$30k–$50k	Some College
520	Working Professional Considering Graduate Degrees	29	Non-binary	Canada	Technician	Public Policy	$50k–$70k	Bachelor's
521	Working Professional Considering Graduate Degrees	46	Prefer not to say	Canada	Accountant	Public Policy	$70k–$90k	Bachelor's
522	Working Professional Considering Graduate Degrees	42	Female	US	HR Coordinator	Cybersecurity	$30k–$50k	Some College
523	Career Changer / Adult Learner	36	Non-binary	Canada	Sales Manager	MBA	$90k–$120k	Bachelor's
524	Working Professional Considering Graduate Degrees	39	Female	India	Marketing Specialist	AI & Machine Learning	$90k–$120k	Some College
525	Working Professional Considering Graduate Degrees	47	Female	US	Software Engineer	Cybersecurity	$50k–$70k	Master's
526	Career Changer / Adult Learner	41	Female	India	Software Engineer	Data Science	$90k–$120k	Some College
527	Career Changer / Adult Learner	48	Female	UK	Marketing Specialist	Healthcare Administration	$70k–$90k	Bachelor's
528	Working Professional Considering Graduate Degrees	36	Male	Canada	Software Engineer	Finance	$120k+	Some College
529	Working Professional Considering Graduate Degrees	26	Prefer not to say	Germany	Teacher	Public Policy	$50k–$70k	Associate
530	Career Changer / Adult Learner	39	Non-binary	Canada	Sales Manager	Healthcare Administration	$30k–$50k	Some College
531	Working Professional Considering Graduate Degrees	27	Female	India	HR Coordinator	Healthcare Administration	$50k–$70k	Bachelor's
532	Career Changer / Adult Learner	27	Non-binary	US	Sales Manager	AI & Machine Learning	$30k–$50k	Associate
533	Working Professional Considering Graduate Degrees	39	Prefer not to say	Germany	Marketing Specialist	Cybersecurity	$120k+	Associate
534	Working Professional Considering Graduate Degrees	27	Prefer not to say	India	Technician	MBA	$30k–$50k	Some College
535	Career Changer / Adult Learner	25	Prefer not to say	India	HR Coordinator	UX Design	$50k–$70k	Associate
536	Working Professional Considering Graduate Degrees	44	Prefer not to say	India	Sales Manager	Finance	$70k–$90k	Associate
537	Working Professional Considering Graduate Degrees	43	Male	Germany	Accountant	Data Science	$120k+	Bachelor's
538	Career Changer / Adult Learner	47	Female	UK	Accountant	Healthcare Administration	$30k–$50k	Bachelor's
539	Career Changer / Adult Learner	49	Non-binary	Germany	HR Coordinator	Data Science	$50k–$70k	Some College
