ID	Time Commitment	Budget (per semester)	Career Change?	Target Timeline
391	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	1-2 years
392	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years
393	5-10 hours per week (part-time)	$10,000-$15,000	Yes	3-5 years
394	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years
395	10-15 hours per week	$10,000-$12,000	Yes	2-3 years
396	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible
397	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible
398	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years
399	5-10 hours per week (1 course)	$10,000-$15,000	Yes	3-5 years
400	10-15 hours per week	$10,000-$12,000	No	3-5 years or flexible
401	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible
402	10-15 hours per week	$10,000-$15,000	Yes	2-3 years
403	10-15 hours per week	$8,000-$12,000	Yes	2-3 years
404	10-15 hours per week	$5,000-$8,000	No	3-5 years or flexible
405	10-15 hours per week	$10,000-$15,000	Yes	1-2 years
406	10-15 hours per week	$5,000-$8,000	Yes	1-2 years
407	10-15 hours per week	$6,000-$8,000	Yes	3-5 years
408	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible
409	5-10 hours per week (1 course)	$10,000-$12,000	No	3-5 years or flexible
410	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible
411	5-10 hours per week (part-time)	$3,500-$6,000	Yes	2-3 years
412	10-15 hours per week	$6,000-$8,000	No	2-3 years
413	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible
414	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	2-3 years
415	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible
416	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	3-5 years
417	5-10 hours per week (1 course)	$12,000-$15,000	Yes	3-5 years
418	10-15 hours per week	$12,000-$15,000	Yes	1-2 years
419	5-10 hours per week (1 course)	$10,000-$15,000	No	3-5 years or flexible
420	5-10 hours per week (part-time)	$3,500-$6,000	Yes	1-2 years
421	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years
422	10-15 hours per week	$5,000-$8,000	Yes	2-3 years
423	10-15 hours per week	$10,000-$12,000	No	3-5 years or flexible
424	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	2-3 years
425	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	2-3 years
426	5-10 hours per week (1 course)	$4,000-$6,000	Yes	2-3 years
427	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years
428	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	2-3 years
429	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years
430	5-10 hours per week (1 course)	$6,000-$8,000	Yes	3-5 years
431	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible
432	5-10 hours per week (part-time)	$5,000-$8,000	Yes	3-5 years
433	5-10 hours per week (part-time)	$3,500-$6,000	Yes	3-5 years
434	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible
435	10-15 hours per week	$12,000-$15,000	No	3-5 years or flexible
436	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	3-5 years
437	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	3-5 years or flexible
438	5-10 hours per week (1 course)	$3,500-$6,000	Yes	3-5 years
439	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	3-5 years or flexible
440	10-15 hours per week	$5,000-$8,000	Yes	1-2 years
441	5-10 hours per week (part-time)	$5,000-$8,000	Yes	3-5 years
442	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years
443	10-15 hours per week	$12,000-$15,000	No	3-5 years or flexible
444	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible
445	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years
446	10-15 hours per week	$5,000-$8,000	Yes	2-3 years
447	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years
448	5-10 hours per week (1 course)	$3,500-$6,000	Yes	1-2 years
449	10-15 hours per week	$6,000-$8,000	Yes	1-2 years
450	5-10 hours per week (1 course)	$3,500-$6,000	Yes	3-5 years
451	10-15 hours per week	$5,000-$8,000	Yes	2-3 years
452	5-10 hours per week (part-time)	$12,000-$15,000	No	3-5 years or flexible
453	5-10 hours per week (part-time)	$3,500-$6,000	Yes	1-2 years
454	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years
455	5-10 hours per week (part-time)	$10,000-$12,000	Yes	3-5 years
456	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	2-3 years
457	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible
458	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years
459	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	3-5 years
460	10-15 hours per week	$10,000-$15,000	No	3-5 years or flexible
461	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	1-2 years
462	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years
463	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years
464	5-10 hours per week (part-time)	$8,000-$12,000	No	3-5 years or flexible
465	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years
466	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years
467	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years
468	5-10 hours per week (part-time)	$3,500-$6,000	Yes	1-2 years
469	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible
470	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible
471	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years
472	10-15 hours per week	$10,000-$15,000	No	2-3 years
473	5-10 hours per week (1 course)	$10,000-$12,000	No	3-5 years or flexible
474	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years
475	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible
476	10-15 hours per week	$10,000-$12,000	No	2-3 years
477	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years
478	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	1-2 years
479	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible
480	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years
481	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years
482	20+ hours per week (full-time)	$10,000-$12,000	No	2-3 years
483	5-10 hours per week (1 course)	$12,000-$15,000	Yes	3-5 years
484	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	1-2 years
485	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years
486	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years
487	5-10 hours per week (1 course)	$8,000-$12,000	Yes	3-5 years
488	10-15 hours per week	$5,000-$8,000	No	3-5 years or flexible
489	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years
490	5-10 hours per week (1 course)	$3,500-$6,000	Yes	1-2 years
491	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible
492	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years
493	5-10 hours per week (1 course)	$2,500-$4,000	Yes	1-2 years
494	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years
495	10-15 hours per week	$6,000-$8,000	No	2-3 years
496	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible
497	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years
498	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible
499	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years
500	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years
501	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years
502	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	3-5 years
503	20+ hours per week (full-time)	$12,000-$15,000	Yes	2-3 years
504	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	2-3 years
505	5-10 hours per week (1 course)	$8,000-$12,000	No	3-5 years or flexible
506	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	3-5 years
507	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years
508	5-10 hours per week (1 course)	$3,500-$6,000	Yes	1-2 years
509	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years
510	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible
511	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years
512	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years
513	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible
514	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible
515	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	2-3 years
516	5-10 hours per week (1 course)	$4,000-$6,000	Yes	1-2 years
517	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years
518	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years
519	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years
520	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years
521	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	3-5 years or flexible
522	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible
523	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years
524	10-15 hours per week	$10,000-$12,000	No	2-3 years
525	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible
526	10-15 hours per week	$10,000-$12,000	Yes	2-3 years
527	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	3-5 years
528	10-15 hours per week	$12,000-$15,000	No	2-3 years
529	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years
530	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years
531	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years
532	5-10 hours per week (part-time)	$2,500-$4,000	Yes	1-2 years
533	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	2-3 years
534	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years
535	5-10 hours per week (part-time)	$4,000-$6,000	Yes	1-2 years
536	10-15 hours per week	$5,000-$8,000	No	3-5 years or flexible
537	10-15 hours per week	$10,000-$15,000	No	3-5 years or flexible
538	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years
539	5-10 hours per week (part-time)	$3,500-$6,000	Yes	3-5 years
540	20+ hours per week (full-time)	$10,000-$15,000	Yes	2-3 years
541	10-15 hours per week	$6,000-$8,000	No	2-3 years
542	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years
543	5-10 hours per week (1 course)	$4,000-$6,000	Yes	2-3 years
544	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years
545	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years
546	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years
547	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years
548	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years
549	10-15 hours per week	$6,000-$8,000	Yes	1-2 years
550	20+ hours per week (full-time)	$10,000-$15,000	No	3-5 years or flexible
551	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years
552	5-10 hours per week (1 course)	$2,000-$4,000	Yes	3-5 years
553	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible
554	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	2-3 years
555	5-10 hours per week (part-time)	$6,000-$8,000	Yes	3-5 years
556	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years
557	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years
558	10-15 hours per week	$8,000-$12,000	Yes	2-3 years
559	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years
560	10-15 hours per week	$5,000-$8,000	Yes	2-3 years
561	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years
562	5-10 hours per week (1 course)	$4,000-$6,000	Yes	1-2 years
563	5-10 hours per week (part-time)	$6,000-$8,000	No	3-5 years or flexible
564	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years
565	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years
566	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible
567	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years
568	5-10 hours per week (1 course)	$5,000-$8,000	Yes	3-5 years
569	10-15 hours per week	$10,000-$15,000	No	3-5 years or flexible
570	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years
571	5-10 hours per week (1 course)	$4,000-$6,000	Yes	2-3 years
572	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years
573	10-15 hours per week	$5,000-$8,000	No	2-3 years
574	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years
575	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years
576	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible
577	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years
578	10-15 hours per week	$12,000-$15,000	Yes	2-3 years
579	5-10 hours per week (part-time)	$2,500-$4,000	Yes	1-2 years
580	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years
581	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years
582	5-10 hours per week (1 course)	$2,000-$4,000	Yes	3-5 years
583	5-10 hours per week (1 course)	$3,500-$6,000	Yes	1-2 years
584	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years
585	10-15 hours per week	$5,000-$8,000	Yes	3-5 years
586	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years
587	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	3-5 years
588	10-15 hours per week	$12,000-$15,000	Yes	2-3 years
589	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years
590	15-20 hours per week (2 courses)	$10,000-$12,000	No	2-3 years
591	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	3-5 years or flexible
592	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible
593	5-10 hours per week (1 course)	$5,000-$8,000	No	3-5 years or flexible
594	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years
595	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years
596	10-15 hours per week	$10,000-$12,000	No	3-5 years or flexible
597	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	3-5 years or flexible
598	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years
599	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years
600	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years
601	10-15 hours per week	$6,000-$8,000	No	2-3 years
602	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years
603	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years
604	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years
605	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years
606	10-15 hours per week	$12,000-$15,000	No	3-5 years or flexible
607	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	2-3 years
608	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years
609	10-15 hours per week	$8,000-$12,000	Yes	2-3 years
610	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years
611	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	3-5 years or flexible
612	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	1-2 years
613	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible
614	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years
615	10-15 hours per week	$10,000-$12,000	No	3-5 years or flexible
616	10-15 hours per week	$10,000-$12,000	Yes	2-3 years
617	5-10 hours per week (1 course)	$10,000-$12,000	Yes	3-5 years
618	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	2-3 years
619	10-15 hours per week	$10,000-$12,000	Yes	3-5 years
620	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible
621	10-15 hours per week	$6,000-$8,000	Yes	1-2 years
622	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years
623	10-15 hours per week	$8,000-$12,000	Yes	1-2 years
624	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	3-5 years or flexible
625	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years
626	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	3-5 years or flexible
627	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years
628	10-15 hours per week	$8,000-$12,000	Yes	2-3 years
629	10-15 hours per week	$10,000-$15,000	Yes	2-3 years
630	5-10 hours per week (1 course)	$4,000-$6,000	Yes	2-3 years
631	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible
632	10-15 hours per week	$8,000-$12,000	Yes	2-3 years
633	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible
634	5-10 hours per week (1 course)	$3,500-$6,000	Yes	2-3 years
635	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible
636	5-10 hours per week (part-time)	$3,500-$6,000	Yes	1-2 years
637	10-15 hours per week	$10,000-$15,000	No	3-5 years or flexible
638	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible
639	5-10 hours per week (1 course)	$5,000-$8,000	Yes	3-5 years
640	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	2-3 years
641	5-10 hours per week (1 course)	$3,500-$6,000	Yes	1-2 years
642	10-15 hours per week	$10,000-$12,000	No	3-5 years or flexible
643	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years
644	5-10 hours per week (1 course)	$2,000-$4,000	Yes	3-5 years
645	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible
646	10-15 hours per week	$12,000-$15,000	Yes	3-5 years
647	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	1-2 years
648	10-15 hours per week	$10,000-$12,000	Yes	2-3 years
649	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	3-5 years or flexible
650	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years
651	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years
652	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible
653	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years
654	10-15 hours per week	$12,000-$15,000	Yes	1-2 years
655	5-10 hours per week (1 course)	$2,000-$4,000	No	3-5 years or flexible
656	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years
657	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible
658	5-10 hours per week (1 course)	$10,000-$15,000	Yes	3-5 years
659	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible
660	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible
661	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	2-3 years
662	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible
663	5-10 hours per week (part-time)	$10,000-$15,000	No	3-5 years or flexible
664	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years
665	5-10 hours per week (part-time)	$10,000-$15,000	Yes	3-5 years
666	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years
667	10-15 hours per week	$10,000-$15,000	No	3-5 years or flexible
668	5-10 hours per week (1 course)	$10,000-$12,000	Yes	3-5 years
669	10-15 hours per week	$10,000-$12,000	No	2-3 years
670	5-10 hours per week (part-time)	$3,500-$6,000	Yes	1-2 years
671	5-10 hours per week (part-time)	$8,000-$12,000	No	3-5 years or flexible
672	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	2-3 years
673	10-15 hours per week	$8,000-$12,000	Yes	1-2 years
674	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible
675	5-10 hours per week (1 course)	$2,000-$4,000	Yes	3-5 years
676	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years
677	5-10 hours per week (1 course)	$10,000-$12,000	Yes	3-5 years
678	10-15 hours per week	$12,000-$15,000	Yes	2-3 years
679	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years
680	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible
681	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible
682	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years
683	10-15 hours per week	$10,000-$15,000	Yes	2-3 years
684	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years
685	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible
686	5-10 hours per week (1 course)	$2,000-$4,000	Yes	3-5 years
687	5-10 hours per week (part-time)	$12,000-$15,000	No	3-5 years or flexible
688	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible
689	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years
690	10-15 hours per week	$10,000-$15,000	Yes	3-5 years
691	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years
692	5-10 hours per week (part-time)	$8,000-$12,000	Yes	3-5 years
693	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	3-5 years or flexible
694	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years
695	5-10 hours per week (1 course)	$3,500-$6,000	Yes	2-3 years
696	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years
697	5-10 hours per week (1 course)	$10,000-$12,000	Yes	3-5 years
698	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	2-3 years
699	5-10 hours per week (1 course)	$10,000-$12,000	No	3-5 years or flexible
700	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years
701	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years
702	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years
703	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	3-5 years
704	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years
705	5-10 hours per week (part-time)	$8,000-$12,000	No	3-5 years or flexible
706	10-15 hours per week	$6,000-$8,000	Yes	2-3 years
707	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	2-3 years
708	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years
709	5-10 hours per week (part-time)	$3,500-$6,000	Yes	1-2 years
710	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible
711	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible
712	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years
713	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years
714	5-10 hours per week (1 course)	$2,000-$4,000	Yes	3-5 years
715	10-15 hours per week	$12,000-$15,000	No	2-3 years
716	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	3-5 years
717	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years
718	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years
719	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	3-5 years or flexible
720	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	3-5 years
721	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	2-3 years
722	5-10 hours per week (1 course)	$2,000-$4,000	Yes	1-2 years
723	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years
724	5-10 hours per week (part-time)	$3,500-$6,000	Yes	1-2 years
725	10-15 hours per week	$5,000-$8,000	Yes	2-3 years
726	5-10 hours per week (part-time)	$4,000-$6,000	Yes	1-2 years
727	5-10 hours per week (1 course)	$10,000-$15,000	Yes	3-5 years
728	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years
729	10-15 hours per week	$5,000-$8,000	Yes	2-3 years
730	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	2-3 years
731	5-10 hours per week (part-time)	$10,000-$12,000	No	3-5 years or flexible
732	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years
733	10-15 hours per week	$8,000-$12,000	Yes	2-3 years
734	10-15 hours per week	$10,000-$15,000	Yes	2-3 years
735	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible
736	5-10 hours per week (1 course)	$3,500-$6,000	Yes	3-5 years
737	5-10 hours per week (1 course)	$3,500-$6,000	Yes	2-3 years
738	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	2-3 years
739	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years
740	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years
741	10-15 hours per week	$10,000-$15,000	Yes	1-2 years
742	10-15 hours per week	$5,000-$8,000	Yes	1-2 years
743	5-10 hours per week (1 course)	$3,500-$6,000	Yes	1-2 years
744	5-10 hours per week (part-time)	$3,500-$6,000	Yes	2-3 years
745	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years
746	10-15 hours per week	$10,000-$12,000	Yes	2-3 years
747	15-20 hours per week (2 courses)	$8,000-$12,000	Yes	1-2 years
748	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible
749	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years
750	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years
751	5-10 hours per week (1 course)	$12,000-$15,000	Yes	3-5 years
752	5-10 hours per week (1 course)	$12,000-$15,000	No	3-5 years or flexible
753	10-15 hours per week	$5,000-$8,000	No	2-3 years
754	10-15 hours per week	$6,000-$8,000	Yes	1-2 years
755	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	1-2 years
756	5-10 hours per week (part-time)	$3,500-$6,000	Yes	1-2 years
757	10-15 hours per week	$12,000-$15,000	No	2-3 years
758	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years
759	10-15 hours per week	$5,000-$8,000	Yes	1-2 years
760	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years
761	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	2-3 years
762	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years
763	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years
764	10-15 hours per week	$10,000-$15,000	Yes	2-3 years
765	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years
766	5-10 hours per week (part-time)	$10,000-$12,000	No	3-5 years or flexible
767	5-10 hours per week (1 course)	$2,000-$4,000	Yes	1-2 years
768	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years
769	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years
770	10-15 hours per week	$12,000-$15,000	Yes	3-5 years
771	10-15 hours per week	$5,000-$8,000	Yes	3-5 years
772	5-10 hours per week (1 course)	$2,500-$4,000	Yes	1-2 years
773	10-15 hours per week	$12,000-$15,000	Yes	1-2 years
774	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years
775	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years
776	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	3-5 years or flexible
777	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years
778	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	1-2 years
779	5-10 hours per week (part-time)	$3,500-$6,000	Yes	3-5 years
780	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible
781	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	3-5 years or flexible
782	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible
783	5-10 hours per week (part-time)	$10,000-$15,000	Yes	3-5 years
